period_month,temp_mean_c_avg,temp_max_c_avg,temp_max_c_peak,temp_min_c_avg,temp_min_c_low,temp_range_c_avg,rh_mean_pct_avg,rainfall_mm_sum,rainfall_day_count,hot_day_count,cool_day_count
1998-03-01,19.051612903225806,21.419354838709676,27.6,17.18064516129032,12.4,4.238709677419355,85.74193548387096,55.300000000000004,9,0,0
1998-04-01,24.82,27.366666666666667,30.8,22.89,19.3,4.476666666666666,81.46666666666667,237.10000000000002,13,1,0
1998-05-01,26.758064516129032,29.03548387096774,32.2,24.951612903225808,21.2,4.083870967741936,84.38709677419355,335.2,16,11,0
1998-06-01,28.313333333333333,30.279999999999998,32.7,26.563333333333333,21.8,3.7166666666666672,84.36666666666666,814.5,25,19,0
1998-07-01,29.032258064516128,31.480645161290322,33.3,27.141935483870967,23.7,4.338709677419355,80.54838709677419,267.2,17,25,0
1998-08-01,29.54516129032258,32.148387096774194,34.4,27.39032258064516,24.8,4.758064516129032,79.19354838709677,245.4,14,28,0
1998-09-01,27.816666666666666,30.063333333333333,32.1,26.220000000000002,24.3,3.8433333333333333,77.63333333333334,230.9,12,19,0
1998-10-01,26.141935483870967,28.299999999999997,32.3,24.293548387096774,21.7,4.006451612903225,70.96774193548387,133.9,9,6,0
1998-11-01,23.163333333333334,25.273333333333333,29.1,21.4,19.3,3.8733333333333335,72.2,28.799999999999997,6,0,0
1998-12-01,19.116129032258065,21.299999999999997,25.7,17.39032258064516,13.8,3.9096774193548387,69.74193548387096,13.7,6,0,0
1999-01-01,17.351612903225806,19.55806451612903,25.0,15.474193548387097,10.3,4.083870967741936,70.12903225806451,4.5,3,0,4
1999-02-01,18.650000000000002,21.15357142857143,27.3,16.5,12.2,4.653571428571429,66.71428571428571,0.0,0,0,0
1999-03-01,20.45483870967742,22.654838709677417,29.5,18.358064516129033,12.7,4.296774193548386,83.74193548387096,23.6,14,0,0
1999-04-01,24.273333333333333,26.85666666666667,31.1,22.416666666666668,18.3,4.4399999999999995,78.86666666666666,176.9,12,5,0
