user_type,user_typedesc,freq,period,sv,svdesc,figure,sd_value,period_month
1,Domestic,M,198108,ELEC_LOCAL,Terajoule,1049.0,,1981-08-01
3,Industrial,M,198108,ELEC_LOCAL,Terajoule,1458.0,,1981-08-01
4,Street lighting,M,198108,ELEC_LOCAL,Terajoule,11.0,,1981-08-01
,Total,M,198108,ELEC_LOCAL,Terajoule,4239.0,,1981-08-01
,,M,198108,ELE_EX_CHN,Terajoule,19.0,,1981-08-01
2,Commercial,M,198108,GASC_LOCAL,Terajoule,152.0,,1981-08-01
1,Domestic,M,198108,GASC_LOCAL,Terajoule,137.0,,1981-08-01
3,Industrial,M,198108,GASC_LOCAL,Terajoule,22.0,,1981-08-01
,Total,M,198108,GASC_LOCAL,Terajoule,311.0,,1981-08-01
2,Commercial,M,198109,ELEC_LOCAL,Terajoule,1759.0,,1981-09-01
1,Domestic,M,198109,ELEC_LOCAL,Terajoule,1029.0,,1981-09-01
3,Industrial,M,198109,ELEC_LOCAL,Terajoule,1498.0,,1981-09-01
4,Street lighting,M,198109,ELEC_LOCAL,Terajoule,12.0,,1981-09-01
,Total,M,198109,ELEC_LOCAL,Terajoule,4298.0,,1981-09-01
,,M,198109,ELE_EX_CHN,Terajoule,40.0,,1981-09-01
2,Commercial,M,198109,GASC_LOCAL,Terajoule,148.0,,1981-09-01
1,Domestic,M,198109,GASC_LOCAL,Terajoule,140.0,,1981-09-01
3,Industrial,M,198109,GASC_LOCAL,Terajoule,19.0,,1981-09-01
,Total,M,198109,GASC_LOCAL,Terajoule,308.0,,1981-09-01
2,Commercial,M,198110,ELEC_LOCAL,Terajoule,1642.0,,1981-10-01
1,Domestic,M,198110,ELEC_LOCAL,Terajoule,786.0,,1981-10-01
3,Industrial,M,198110,ELEC_LOCAL,Terajoule,1388.0,,1981-10-01
4,Street lighting,M,198110,ELEC_LOCAL,Terajoule,12.0,,1981-10-01
,Total,M,198110,ELEC_LOCAL,Terajoule,3828.0,,1981-10-01
,,M,198110,ELE_EX_CHN,Terajoule,75.0,,1981-10-01
2,Commercial,M,198110,GASC_LOCAL,Terajoule,148.0,,1981-10-01
1,Domestic,M,198110,GASC_LOCAL,Terajoule,145.0,,1981-10-01
3,Industrial,M,198110,GASC_LOCAL,Terajoule,19.0,,1981-10-01
,Total,M,198110,GASC_LOCAL,Terajoule,311.0,,1981-10-01
2,Commercial,M,198111,ELEC_LOCAL,Terajoule,1377.0,,1981-11-01
1,Domestic,M,198111,ELEC_LOCAL,Terajoule,595.0,,1981-11-01
3,Industrial,M,198111,ELEC_LOCAL,Terajoule,1252.0,,1981-11-01
4,Street lighting,M,198111,ELEC_LOCAL,Terajoule,12.0,,1981-11-01
,Total,M,198111,ELEC_LOCAL,Terajoule,3236.0,,1981-11-01
,,M,198111,ELE_EX_CHN,Terajoule,86.0,,1981-11-01
2,Commercial,M,198111,GASC_LOCAL,Terajoule,154.0,,1981-11-01
