period_month,building_consent_demolition_count,building_consent_site_formation_count,building_consent_foundation_count,building_consent_superstructure_count,building_consent_total_count,occupation_permits_domestic_count,occupation_permits_non_domestic_count,occupation_permits_composite_count,occupation_permits_total_count,occupation_permits_domestic_units,building_completion_domestic_gfa,building_completion_non_domestic_gfa,building_completion_total_gfa,building_completion_domestic_ufa,building_completion_non_domestic_ufa,building_completion_total_ufa,building_completion_domestic_units,building_completion_declared_cost_hkd,building_completion_declared_cost_aa_hkd
2022-05-01,9,7,16,12,44,12,11,1,23,1183,120734.6,60352.5,181087.1,68155.5,31581.8,99737.3,1183,9738888318.0,438439270.0
2022-06-01,8,8,12,16,44,7,13,1,21,902,61125.9,38830.9,99956.8,34180.7,16817.1,50997.8,902,6633865940.0,1299471449.0
2022-07-01,5,5,10,9,29,3,12,2,17,1131,64706.6,157829.8,222536.4,33672.6,114956.4,148629.0,1131,6168072298.0,870165667.0
2022-08-01,5,4,11,11,31,0,20,2,22,730,50836.3,337713.9,388550.2,27543.8,239879.2,267423.0,730,9849720305.0,1871120686.0
2022-09-01,6,6,12,7,31,6,19,5,30,3453,189022.5,244255.9,433278.4,96634.2,148556.8,245191.0,3453,48731419991.0,612700360.0
2022-10-01,6,8,16,12,42,3,12,0,15,2156,128181.1,58863.7,187044.8,69502.1,44540.4,114042.5,2156,6239653891.0,603638327.6
2022-11-01,11,5,12,11,39,5,10,1,16,1355,53033.9,168626.5,221660.4,27555.2,117741.6,145296.8,1355,10802908820.0,653882689.0
2022-12-01,9,8,10,11,38,5,12,2,19,2705,149530.1,169677.3,319207.4,77463.9,65531.1,142995.0,2705,14078332161.0,474425220.0
2023-01-01,7,2,13,10,32,4,9,4,17,3178,152579.5,35954.5,188534.0,83001.9,16156.6,99158.5,3178,7365126566.0,484690625.6
2023-02-01,7,6,6,9,28,7,14,1,22,3115,155635.0,107205.7,262840.7,82428.3,52663.2,135091.5,3115,11008325662.0,366026368.4
2023-03-01,9,3,10,26,48,1,21,3,25,503,19154.8,81197.4,100352.2,10245.0,32764.8,43009.8,503,8189610087.0,2092720875.0
2023-04-01,8,5,10,11,34,6,11,1,18,416,19815.4,7198.1,27013.5,10619.6,4020.6,14640.2,416,1273352294.0,204909544.2
2023-05-01,9,10,12,14,45,4,10,1,15,282,8904.8,27082.6,35987.4,4582.9,7321.5,11904.4,282,958313900.0,488732900.0
2023-06-01,8,8,10,13,39,4,14,2,20,876,38564.8,153804.8,192369.6,21174.2,94527.4,115701.6,876,10718998190.0,2353204171.0
2023-07-01,5,7,12,9,33,3,5,0,8,128,30617.4,12438.3,43055.7,16093.1,6268.3,22361.4,128,2635445100.0,208470972.0
2023-08-01,4,9,10,10,33,2,11,3,16,309,28999.5,228881.6,257881.1,13119.4,145885.6,159005.0,309,16819828664.0,910043792.0
2023-09-01,13,4,9,7,33,7,16,2,25,3195,149002.2,580940.6,729942.8,79459.4,248450.5,327909.9,3195,24712170792.0,384226329.1
2023-10-01,9,11,12,16,48,0,12,2,14,480,15367.6,82267.4,97635.0,8410.7,24735.8,33146.5,480,3073137534.0,383083027.0
2023-11-01,9,3,11,15,38,5,13,6,24,3345,164584.3,201716.3,366300.6,84335.7,148943.0,233278.7,3345,13941020326.0,464980130.0
2023-12-01,7,10,6,11,34,2,17,1,20,128,5449.8,55479.5,60929.3,2469.6,30992.0,33461.6,128,1985148153.0,657671927.2
2024-01-01,8,4,11,6,29,3,12,5,20,4623,223091.9,99833.0,322924.9,121559.1,64239.7,185798.8,4623,17803881778.0,1223750873.0
2024-02-01,6,4,5,15,30,3,11,1,15,1756,34730.5,120809.7,155540.2,19993.1,60723.0,80716.1,1756,4719851900.0,300139055.0
2024-03-01,11,9,9,6,35,11,9,3,23,2829,185842.2,138997.2,324839.4,97108.8,74082.1,171190.9,2829,15004139960.0,259747584.0
2024-04-01,8,8,11,14,41,2,15,2,19,727,28263.4,116353.4,144616.8,13619.3,42385.3,56004.6,727,5589935771.0,588959004.8
2024-05-01,7,6,9,10,32,2,11,1,14,409,53683.7,65152.9,118836.6,27734.1,44218.5,71952.6,409,5341628041.0,1131551095.0
2024-06-01,1,7,8,6,22,4,7,8,19,3517,143922.2,45798.2,189720.4,70954.7,21118.8,92073.5,3517,3979445809.0,580625914.5
2024-07-01,5,3,7,9,24,3,8,4,15,2209,91963.8,36643.8,128607.6,48049.9,12324.7,60374.6,2209,6410625771.0,605593780.0
2024-08-01,4,9,7,10,30,3,9,3,15,2319,69575.7,18416.5,87992.2,34459.2,9487.1,43946.3,2319,3318961890.0,214005714.0
2024-09-01,9,4,9,11,33,4,10,2,16,1674,74896.0,26784.1,101680.1,39537.0,17517.0,57054.0,1674,5240101806.0,1127311529.0
2024-10-01,4,4,6,12,26,3,10,1,14,3715,207034.1,37189.8,244223.9,113470.5,8280.9,121751.4,3715,21321335306.0,301111210.0
2024-11-01,4,5,3,6,18,6,8,3,17,4141,238110.2,53440.8,291551.0,125405.7,31299.0,156704.7,4141,11886333610.0,335530473.0
2024-12-01,2,7,5,13,27,10,10,9,29,6121,377282.3,81786.9,459069.2,198398.2,42287.4,240685.6,6121,20211397277.0,417001292.1
2025-01-01,6,7,5,7,25,3,10,3,16,1886,85224.5,23398.0,108622.5,44250.9,10822.5,55073.4,1886,8061943658.0,371566461.5
2025-02-01,3,3,2,12,20,3,13,1,17,1624,102563.8,47162.8,149726.6,56074.5,27688.6,83763.1,1624,8526643923.0,336150637.0
2025-03-01,9,3,7,10,29,8,9,6,23,2577,147049.9,70865.1,217915.0,69192.8,48827.5,118020.3,2577,8603448740.0,712335360.0
2025-04-01,2,6,3,5,16,3,9,2,14,1610,59869.4,11307.7,71177.1,31052.4,5750.1,36802.5,1610,4254136312.0,389730651.0
2025-05-01,3,7,7,7,24,2,5,2,9,330,22040.9,35351.8,57392.7,11177.8,22222.4,33400.2,330,3168226565.0,346688298.5
2025-06-01,4,9,4,11,28,8,9,1,18,2637,180829.5,77802.8,258632.3,101443.0,44670.6,146113.6,2637,11368788300.0,814441468.9
2025-07-01,4,2,8,16,30,5,9,3,17,2391,179523.0,32712.5,212235.5,92585.2,12521.7,105106.9,2391,11213441973.0,401363434.0
2025-08-01,2,1,4,11,18,0,12,1,13,592,39922.1,298334.7,338256.8,21701.2,111448.6,133149.8,592,11653799850.0,560470147.0
2025-09-01,4,9,9,8,30,2,11,3,16,1004,51721.0,100004.5,151725.5,28423.7,50084.1,78507.8,1004,4133822305.0,390370210.9
2025-10-01,2,12,7,6,27,7,11,2,20,3820,182436.5,85687.7,268124.2,94617.4,38618.6,133236.0,3820,7259984516.0,519600710.5
2025-11-01,6,9,4,5,24,5,8,1,14,1616,39753.0,301457.9,341210.9,17854.3,223793.0,241647.3,1616,14104480000.0,1124416027.0
2025-12-01,2,13,4,4,23,5,12,2,19,892,41982.7,38153.7,80136.4,21827.0,22330.7,44157.7,892,19755807077.0,333312545.0
2026-01-01,4,8,11,5,28,2,13,2,17,1300,34216.3,31107.3,65323.6,18102.4,16189.5,34291.9,1300,3689592852.0,204705219.0
