user_type,user_typedesc,freq,period,sv,svdesc,figure,sd_value,table_title,source_name,prod_type,prod_typedesc
1,Domestic,M,198009,ELEC_LOCAL,Terajoule,945,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198009,ELEC_LOCAL,Terajoule,1559,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198009,ELEC_LOCAL,Terajoule,1383,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,198009,ELEC_LOCAL,Terajoule,11,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,Y,1981,ELEC_LOCAL,Terajoule,41620,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,Y,1981,ELEC_LOCAL,Terajoule,8733,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,Y,1981,ELEC_LOCAL,Terajoule,17340,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,Y,1981,ELEC_LOCAL,Terajoule,15406,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,Y,1981,ELEC_LOCAL,Terajoule,141,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,198101,ELEC_LOCAL,Terajoule,2929,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,198101,ELEC_LOCAL,Terajoule,599,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198101,ELEC_LOCAL,Terajoule,1155,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198101,ELEC_LOCAL,Terajoule,1163,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
