period_month,public_transport_ferries_avg_daily_pax,public_transport_fran_bus_avg_daily_pax,public_transport_lrb_avg_daily_pax,public_transport_plb_avg_daily_pax,public_transport_rs_avg_daily_pax,public_transport_railways_avg_daily_pax,public_transport_tax_avg_daily_pax
2016-10-01,134.7096451612903,3939.2159032258055,139.584,1811.669935483868,232.686064516129,5348.414677419358,926.560855709677
2016-11-01,133.69299999999998,4109.424166666662,145.812233333333,1871.348833333333,240.308533333333,5659.424800000001,944.3433578
2016-12-01,147.11032258064523,4072.3071935483913,141.916838709677,1823.8963225806478,229.702096774194,5625.887870967739,923.939710258065
2017-01-01,136.5793225806452,3947.8329354838656,137.344032258065,1787.233580645162,228.043225806452,5515.36483870968,922.588582741936
2017-02-01,133.5406071428571,3948.088571428569,137.944357142857,1823.480999999999,236.608535714286,5496.896035714289,910.242768464286
2017-03-01,124.5710322580646,3997.884548387094,140.986483870968,1842.087612903227,230.730677419355,5564.357258064515,915.013966387097
2017-04-01,142.2012,3899.9461333333365,132.949366666667,1769.89633333333,225.3633,5268.874766666667,888.398935333333
2017-05-01,126.8179032258064,3961.9151290322598,138.018806451613,1812.0556129032238,229.619806451613,5313.329483870969,866.222515032258
2017-06-01,111.5283666666667,3926.7892,138.9989,1828.685400000003,236.1345,5406.003800000003,887.973866
2017-07-01,122.9457096774194,3890.025193548385,133.191161290323,1792.661000000001,225.229129032258,5433.407548387101,892.66835483871
2017-08-01,123.39977419354841,3796.554193548387,129.745290322581,1765.63951612903,230.114387096774,5324.380806451612,888.745752548387
2017-09-01,110.7226,4094.711400000001,147.389333333333,1878.7095000000031,239.2599,5692.17513333333,915.555366666667
2017-10-01,131.10254838709682,3965.299419354837,141.922096774194,1805.481677419356,231.861387096774,5610.852741935483,886.164646
2017-11-01,130.9895666666667,4133.576766666671,147.661366666667,1869.51933333333,239.4219,5802.8288,907.5053432
2017-12-01,144.1035483870968,4040.029709677418,142.405870967742,1806.009258064516,228.256451612903,5724.28022580645,896.522368580645
2018-01-01,121.9027096774194,3986.01693548387,140.497290322581,1825.219967741933,230.722129032258,5631.423967741937,876.163503645161
2018-02-01,134.7725357142857,3887.5186428571415,130.272571428571,1750.900321428576,223.172142857143,5502.944535714284,897.5112645
2018-03-01,132.1368387096774,4071.162354838712,139.782612903226,1825.557419354841,225.016,5634.8265483871,901.922730354839
2018-04-01,137.0575666666667,3995.155466666663,136.867833333333,1791.866166666663,219.438866666667,5477.0386000000035,881.749570433333
2018-05-01,122.6628387096774,4061.59987096774,141.896806451613,1825.82106451613,225.522903225806,5510.117806451613,900.406338741935
2018-06-01,114.72896666666671,4007.5249666666637,138.839133333333,1810.6274,228.3968,5488.473433333331,899.515547366667
2018-07-01,121.6595483870968,4022.7648709677424,135.580709677419,1790.464935483866,219.796838709677,5523.867903225811,892.404761806452
