period_month,mode,ttd_pto_code,avg_daily_pax
2014-11-01,Railways,HKT,155.2246
2014-11-01,Railways,MTRC,42.3478
2014-11-01,Railways,MTRC,495.2434
2014-11-01,LRB,LRB,146.787333333333
2014-11-01,RS,RS,240.8189
2014-11-01,TAX,TAX,942.710633333333
2014-11-01,Ferries,LFS,39.152
2014-11-01,Ferries,STF,56.851
2014-11-01,Ferries,NWFF,41.0436666666667
2014-11-01,PLB,RMB,352.060433333333
2014-11-01,PLB,GMB,1543.77833333333
2014-11-01,Railways,MTRC,4933.58676666667
2014-11-01,Fran_Bus,NLB,70.6822
2014-11-01,Fran_Bus,LWB,98.4178666666667
2014-11-01,Fran_Bus,NWFB,451.363133333333
2014-11-01,Fran_Bus,CTB,623.1168
2014-11-01,Fran_Bus,KMB,2602.34663333333
2014-12-01,LRB,LRB,142.065290322581
2014-12-01,Railways,HKT,173.195903225806
2014-12-01,Fran_Bus,KMB,2606.32267741935
2014-12-01,Fran_Bus,CTB,627.628516129032
2014-12-01,Fran_Bus,NWFB,464.545064516129
2014-12-01,Fran_Bus,LWB,97.1675483870968
2014-12-01,Fran_Bus,NLB,70.6370967741936
2014-12-01,Railways,MTRC,4785.39748387097
2014-12-01,Railways,MTRC,44.5796774193548
2014-12-01,TAX,TAX,957.408322580645
2014-12-01,Ferries,LFS,36.4626129032258
2014-12-01,Ferries,STF,64.0751935483871
2014-12-01,Ferries,NWFF,38.0651935483871
2014-12-01,PLB,RMB,346.459322580645
2014-12-01,PLB,GMB,1493.48396774194
2014-12-01,Railways,MTRC,474.977580645161
2014-12-01,RS,RS,234.844935483871
2015-01-01,Railways,HKT,183.617870967742
2015-01-01,PLB,GMB,1496.6895483871
2015-01-01,PLB,RMB,349.434870967742
2015-01-01,Ferries,NWFF,38.4664838709677
2015-01-01,Ferries,STF,59.0595161290323
2015-01-01,Ferries,LFS,37.226064516129
2015-01-01,TAX,TAX,947.434451548387
2015-01-01,RS,RS,239.362838709677
2015-01-01,LRB,LRB,142.523451612903
2015-01-01,Fran_Bus,KMB,2633.18258064516
2015-01-01,Fran_Bus,CTB,626.166548387097
2015-01-01,Fran_Bus,NWFB,463.794387096774
2015-01-01,Fran_Bus,LWB,96.693
2015-01-01,Fran_Bus,NLB,71.1711935483871
2015-01-01,Railways,MTRC,4715.61170967742
2015-01-01,Railways,MTRC,40.9584193548387
2015-01-01,Railways,MTRC,476.075
2015-02-01,LRB,LRB,133.960571428571
2015-02-01,Fran_Bus,KMB,2602.30478571429
2015-02-01,Fran_Bus,CTB,627.581535714286
2015-02-01,Fran_Bus,NWFB,462.637
2015-02-01,Fran_Bus,LWB,95.6189642857143
2015-02-01,Fran_Bus,NLB,73.74875
2015-02-01,Railways,MTRC,4687.71721428571
2015-02-01,Railways,MTRC,39.3787142857143
2015-02-01,Railways,MTRC,466.607464285714
2015-02-01,Railways,HKT,180.817928571429
2015-02-01,PLB,GMB,1459.17767857143
2015-02-01,PLB,RMB,334.601392857143
2015-02-01,Ferries,NWFF,41.7728571428571
2015-02-01,Ferries,STF,63.1083571428571
2015-02-01,Ferries,LFS,37.9185357142857
2015-02-01,TAX,TAX,976.074814428571
2015-02-01,RS,RS,232.051785714286
2015-03-01,PLB,GMB,1508.10203225806
2015-03-01,PLB,RMB,344.865451612903
2015-03-01,Ferries,NWFF,40.5290967741935
2015-03-01,Ferries,STF,51.253
2015-03-01,Ferries,LFS,37.5939677419355
2015-03-01,TAX,TAX,976.443213032258
2015-03-01,RS,RS,234.619129032258
2015-03-01,LRB,LRB,140.44364516129
2015-03-01,Fran_Bus,KMB,2669.19851612903
2015-03-01,Fran_Bus,CTB,632.881838709677
2015-03-01,Fran_Bus,NWFB,475.31035483871
2015-03-01,Fran_Bus,LWB,98.4831935483871
2015-03-01,Fran_Bus,NLB,71.7423870967742
2015-03-01,Railways,MTRC,4629.89351612903
2015-03-01,Railways,MTRC,44.2199677419355
2015-03-01,Railways,MTRC,476.838193548387
2015-03-01,Railways,HKT,183.713741935484
2015-04-01,PLB,GMB,1499.8575
2015-04-01,PLB,RMB,327.824033333333
2015-04-01,Ferries,NWFF,45.8237666666667
2015-04-01,Ferries,STF,54.6288333333333
2015-04-01,Ferries,LFS,40.8457666666667
2015-04-01,TAX,TAX,940.426596366667
2015-04-01,RS,RS,231.487566666667
2015-04-01,LRB,LRB,134.290133333333
2015-04-01,Fran_Bus,KMB,2589.4964
2015-04-01,Fran_Bus,CTB,615.868766666667
2015-04-01,Fran_Bus,NWFB,458.615633333333
2015-04-01,Fran_Bus,LWB,101.012733333333
2015-04-01,Fran_Bus,NLB,70.1818333333333
2015-04-01,Railways,MTRC,4464.5671
2015-04-01,Railways,MTRC,44.9568
2015-04-01,Railways,MTRC,462.866866666667
2015-04-01,Railways,HKT,173.1479
2015-05-01,PLB,GMB,1504.74603225806
2015-05-01,PLB,RMB,331.29935483871
2015-05-01,Ferries,NWFF,40.5397096774194
2015-05-01,Ferries,STF,48.8031935483871
2015-05-01,Ferries,LFS,37.0805483870968
2015-05-01,TAX,TAX,951.991844387097
2015-05-01,RS,RS,233.547516129032
2015-05-01,LRB,LRB,136.720161290323
2015-05-01,Fran_Bus,KMB,2585.9494516129
2015-05-01,Fran_Bus,CTB,603.457064516129
2015-05-01,Fran_Bus,NWFB,449.182225806452
2015-05-01,Fran_Bus,LWB,97.494935483871
2015-05-01,Fran_Bus,NLB,68.693064516129
2015-05-01,Railways,MTRC,4465.6344516129
2015-05-01,Railways,MTRC,39.3041935483871
2015-05-01,Railways,MTRC,480.053580645161
2015-05-01,Railways,HKT,165.977483870968
2015-06-01,PLB,GMB,1553.59946666667
2015-06-01,PLB,RMB,336.9731
2015-06-01,Ferries,NWFF,37.8357333333333
2015-06-01,Ferries,STF,48.5060333333333
2015-06-01,Ferries,LFS,36.7634666666667
2015-06-01,TAX,TAX,989.981630333333
2015-06-01,RS,RS,243.494666666667
2015-06-01,LRB,LRB,138.8334
2015-06-01,Fran_Bus,KMB,2647.7154
2015-06-01,Fran_Bus,CTB,623.637633333333
